code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sh.688256,寒武纪,2025-01-17,2025-01-20,592.0,618.22,4.43,658.99,669.41,557.21,-2.71,2.35,3
sh.688256,寒武纪,2025-03-19,2025-04-01,703.9,632.94,-10.08,741.12,746.18,678.65,-1.01,13.3,13
sh.688271,联影医疗,2024-10-17,2024-10-21,110.35,116.3,5.39,114.88,108.87,109.58,-12.26,4.81,4
sh.688271,联影医疗,2024-11-26,2024-11-27,130.0,132.94,2.26,135.52,131.19,116.62,-5.79,5.18,1
sh.688271,联影医疗,2024-11-28,2024-11-29,129.83,131.15,1.02,131.59,132.16,117.51,-1.06,3.48,1
sh.688271,联影医疗,2024-12-16,2024-12-24,134.34,127.05,-5.43,137.46,136.81,124.81,-2.14,7.58,8
sh.688271,联影医疗,2025-03-07,2025-03-10,131.72,135.8,3.1,134.48,134.72,129.56,-1.44,24.58,3
sh.688271,联影医疗,2025-03-12,2025-03-13,130.14,129.98,-0.12,133.09,135.22,129.19,-0.68,2.81,1
sh.688303,大全能源,2024-11-07,2024-11-11,29.7,30.27,1.92,30.94,29.83,23.28,-3.42,7.98,4
sh.688303,大全能源,2024-11-15,2024-11-19,26.97,27.98,3.74,29.21,30.92,24.2,-3.87,15.08,4
sh.688396,华润微,2024-11-01,2024-11-04,49.31,49.49,0.37,50.5,51.81,41.31,-2.91,0.26,3
sh.688396,华润微,2024-11-22,2024-11-27,49.65,50.25,1.21,51.85,52.21,45.14,-5.14,8.97,5
sh.688506,百利天恒,2024-05-24,2024-05-27,179.62,179.79,0.09,182.0,175.06,141.27,-0.15,2.53,3
sh.688506,百利天恒,2024-05-30,2024-05-31,172.89,175.98,1.79,177.26,181.86,144.94,-4.68,10.03,1
sh.688506,百利天恒,2024-06-21,2024-07-01,193.7,185.56,-4.2,197.03,192.86,163.27,-0.27,14.55,10
sh.688506,百利天恒,2024-12-11,2024-12-17,209.03,205.23,-1.82,218.43,209.05,191.07,-14.81,6.97,6
sh.688506,百利天恒,2024-12-20,2024-12-24,196.63,191.58,-2.57,201.61,213.92,195.92,-1.43,1.1,4
sh.688506,百利天恒,2025-03-12,2025-03-14,210.52,212.02,0.71,213.3,206.75,197.8,-1.05,14.41,2
sh.688506,百利天恒,2025-03-26,2025-03-27,207.11,224.88,8.58,212.42,216.08,199.68,-7.8,55.24,1
sh.688599,天合光能,2024-11-18,2024-11-19,23.6,24.23,2.67,24.52,25.63,20.69,-2.5,9.91,1
sh.688599,天合光能,2024-12-11,2024-12-12,23.46,23.75,1.24,23.88,24.04,22.8,-2.71,3.97,1
sh.688981,中芯国际,2024-06-27,2024-06-28,45.71,46.1,0.85,46.75,46.89,43.84,-3.32,0.18,1
sh.688981,中芯国际,2024-11-01,2024-11-05,84.81,95.8,12.96,88.59,83.33,58.88,-5.53,51.2,4
sh.688981,中芯国际,2024-11-22,2024-11-27,88.77,88.0,-0.87,92.55,94.18,70.77,-7.2,15.07,5
sh.688981,中芯国际,2025-01-27,2025-02-05,93.94,101.37,7.91,98.14,95.37,92.79,-1.13,36.42,9
sz.000001,平安银行,2024-04-10,2024-04-11,10.28,10.25,-0.29,10.42,10.46,10.01,-6.65,2.4,1
sz.000001,平安银行,2024-04-12,2024-04-15,10.06,10.29,2.29,10.28,10.43,10.04,-6.89,18.04,3
sz.000001,平安银行,2024-05-31,2024-06-07,11.11,10.99,-1.08,11.28,11.16,10.7,-10.08,1.54,7
sz.000001,平安银行,2024-10-29,2024-10-31,11.54,11.38,-1.39,11.7,11.78,10.65,-2.87,7.52,2
sz.000001,平安银行,2024-11-25,2024-11-26,11.18,11.27,0.81,11.47,11.54,11.1,-5.13,0.24,1
sz.000002,万科A,2024-11-14,2024-11-20,8.95,8.76,-2.12,9.2,9.27,7.98,-1.51,5.01,6
sz.000063,中兴通讯,2024-11-01,2024-11-04,29.6,30.3,2.36,30.39,30.82,26.97,-3.4,6.05,3
sz.000063,中兴通讯,2024-11-22,2024-11-27,30.95,31.02,0.23,32.09,32.11,28.65,-9.53,7.68,5
sz.000063,中兴通讯,2025-01-06,2025-01-09,34.8,38.37,10.26,37.92,35.56,32.81,-14.93,28.9,3
sz.000063,中兴通讯,2025-02-14,2025-02-17,39.74,40.9,2.92,41.07,41.25,36.35,-4.97,9.79,3
sz.000063,中兴通讯,2025-02-18,2025-02-19,39.29,40.39,2.8,40.33,41.42,36.58,-3.94,9.53,1
sz.000100,TCL科技,2024-10-16,2024-10-21,4.11,4.18,1.7,4.23,4.03,3.9,-6.39,2.83,5
sz.000100,TCL科技,2024-11-14,2024-11-20,4.93,4.82,-2.23,5.17,4.82,4.23,-5.59,5.86,6
