date,code,open,high,low,close,preclose,volume,amount,turn
2026-01-06 00:00:00,sh.600589,7.97,8.1,7.61,7.98,7.39,292952187,2323422805.93,19.8146
2026-01-06 00:00:00,sh.600722,6.1,6.6,6.09,6.49,6.04,42451097,271466324.23,6.2399
2026-01-06 00:00:00,sh.600906,6.71,7.17,6.71,7.12,6.73,106211599,743610445.3,5.0
2026-01-06 00:00:00,sh.601216,4.85,5.34,4.84,5.31,4.85,412632452,2156412602.66,4.8902
2026-01-06 00:00:00,sh.601568,3.78,4.01,3.78,3.98,3.77,72363349,284435746.75,1.8217
2026-01-06 00:00:00,sh.603739,14.5,15.1,14.27,14.77,14.34,10761640,158401630.2,4.2531
2026-01-06 00:00:00,sh.603810,16.23,17.68,16.23,16.77,16.23,5963703,100577997.05,3.607
2026-01-06 00:00:00,sz.000100,4.64,5.01,4.64,4.93,4.55,1569359806,7662980103.64,8.6721
2026-01-06 00:00:00,sz.300029,5.78,6.1,5.72,5.85,5.39,17675604,104319288.67,8.8219
2026-01-06 00:00:00,sz.300163,4.08,4.58,4.07,4.44,4.07,85579500,375167237.0,18.8588
2026-01-06 00:00:00,sz.300429,13.56,16.37,13.54,15.8,13.64,143999465,2293562470.85,36.1232
2026-01-06 00:00:00,sz.300698,43.88,47.83,43.5,47.18,43.25,17279042,793704179.66,14.5758
2026-01-06 00:00:00,sz.300746,12.85,13.98,12.78,13.76,12.81,10447500,141628434.0,4.6735
2026-01-06 00:00:00,sz.300821,12.08,13.96,12.08,13.18,12.05,122928499,1614085995.98,10.2458
2026-01-06 00:00:00,sz.300825,10.11,11.13,10.11,10.93,9.88,48044646,510735698.65,9.9182
2026-01-06 00:00:00,sz.300827,35.39,39.88,35.3,38.92,34.9,64974342,2489802218.15,16.861
2026-01-06 00:00:00,sz.300891,8.86,9.58,8.86,9.41,8.87,20934297,195777906.77,6.2975
2026-01-06 00:00:00,sz.300982,20.89,24.3,20.89,23.27,20.88,24404207,563591600.75,12.5862
2026-01-07 00:00:00,sh.600121,4.36,4.75,4.29,4.68,4.33,150582711,683104836.8,12.3589
2026-01-07 00:00:00,sh.600458,14.08,14.35,13.91,14.18,13.62,46675560,659832787.78,5.7642
2026-01-07 00:00:00,sh.600855,25.45,27.95,23.5,26.24,25.45,126323899,3271333747.7,27.0131
2026-01-07 00:00:00,sh.601666,8.1,8.51,8.04,8.4,8.05,59054036,487936794.7,2.3915
2026-01-07 00:00:00,sh.603102,43.05,45.75,42.91,44.55,43.05,1752600,77678637.0,2.7384
2026-01-07 00:00:00,sh.603281,27.93,30.15,27.91,29.5,28.05,6698722,196593897.59,2.6615
2026-01-07 00:00:00,sh.603339,13.0,14.12,12.73,13.73,12.9,21197262,286138911.22,6.8502
2026-01-07 00:00:00,sh.603655,38.7,42.5,38.7,41.99,38.64,7645290,316194405.1,7.2125
2026-01-07 00:00:00,sh.603687,9.66,10.71,9.66,10.55,9.74,44468525,463108283.9,8.0847
2026-01-07 00:00:00,sh.603916,9.83,10.81,9.79,10.32,9.83,32095946,333274002.58,7.636
2026-01-07 00:00:00,sz.000595,5.69,5.97,5.69,5.95,5.69,27596200,163231510.0,2.4236
2026-01-07 00:00:00,sz.000983,6.85,7.13,6.75,7.06,6.59,158134230,1095272964.51,3.4079
2026-01-07 00:00:00,sz.300066,6.6,6.77,6.53,6.7,6.45,66087907,439415325.95,6.57
2026-01-07 00:00:00,sz.300127,32.26,33.96,31.96,33.22,31.61,24227193,799990372.61,10.4963
2026-01-07 00:00:00,sz.300141,14.0,15.85,13.8,14.58,13.21,60557048,920923955.28,23.7722
2026-01-07 00:00:00,sz.300420,4.02,4.31,3.95,4.17,4.02,82065066,340222343.08,7.3515
2026-01-07 00:00:00,sz.300480,17.35,18.85,17.24,18.31,17.23,33028877,603147371.6,13.3433
2026-01-07 00:00:00,sz.300606,23.5,27.0,23.36,25.83,23.17,24113150,614195186.1,20.4914
2026-01-07 00:00:00,sz.300797,17.28,18.28,17.17,17.83,17.01,21328146,377705730.78,5.635
2026-01-07 00:00:00,sz.300820,49.5,54.32,49.31,54.02,49.53,11280883,589739638.17,10.0929
2026-01-07 00:00:00,sz.300935,33.06,37.88,33.06,35.57,32.73,6852789,245604729.66,11.3695
2026-01-08 00:00:00,sh.600435,20.0,21.8,18.98,21.07,19.82,340024598,6879669969.39,22.4831
2026-01-08 00:00:00,sh.600496,4.28,4.62,4.28,4.5,4.24,93909843,423598184.33,4.7188
2026-01-08 00:00:00,sh.603499,20.43,22.35,20.35,21.87,20.43,13688760,294840013.11,4.5238
2026-01-08 00:00:00,sh.603588,8.6,9.11,8.56,9.08,8.28,156482736,1409940102.19,10.2731
2026-01-08 00:00:00,sh.603598,22.62,24.88,20.62,23.57,22.62,87247422,2038339668.45,32.4023
2026-01-08 00:00:00,sh.605198,37.4,40.78,37.35,39.91,37.76,4699635,185861156.5,1.7372
2026-01-08 00:00:00,sz.000620,3.33,3.58,3.3,3.45,3.33,971682901,3321511108.97,20.7991
2026-01-08 00:00:00,sz.300048,6.2,7.48,6.16,7.0,6.24,175727894,1222254512.81,15.6066
2026-01-08 00:00:00,sz.300153,31.5,36.0,31.4,33.61,31.12,69072634,2340246283.15,21.6984
2026-01-08 00:00:00,sz.300353,22.42,23.99,22.37,22.9,21.05,69527163,1614829717.42,12.9411
2026-01-08 00:00:00,sz.300492,77.6,87.5,77.6,87.45,76.94,4853137,407740585.7,2.4675
2026-01-08 00:00:00,sz.300508,36.69,43.2,36.15,40.03,36.12,11646944,463659860.7,14.2136
2026-01-08 00:00:00,sz.300792,29.66,34.2,29.49,33.0,29.77,23109740,739227033.83,10.8734
2026-01-09 00:00:00,sh.600108,3.3,3.61,3.28,3.53,3.28,198287544,705459451.73,10.1847
2026-01-09 00:00:00,sh.601226,8.3,9.2,8.3,8.93,8.36,84930514,761819797.02,7.3076
2026-01-09 00:00:00,sh.601811,14.0,15.32,14.0,14.67,13.99,13914714,204458995.78,1.7571
2026-01-09 00:00:00,sh.603261,27.32,27.9,26.71,27.85,26.57,3232001,89588561.9,4.1701
2026-01-09 00:00:00,sh.603888,20.6,22.31,20.55,22.24,20.61,38651551,832405054.46,5.7284
2026-01-09 00:00:00,sh.605116,28.68,30.74,28.27,30.69,28.27,17242239,505362800.92,4.2449
2026-01-09 00:00:00,sh.605177,19.56,21.3,19.55,21.11,19.52,9222549,191498649.12,8.1917
2026-01-09 00:00:00,sz.000159,6.37,7.01,6.34,6.6,6.37,123607731,823721100.28,25.7156
2026-01-09 00:00:00,sz.000803,8.08,8.61,8.02,8.19,7.83,53282916,445318649.4,11.5886
2026-01-09 00:00:00,sz.300142,11.5,12.36,11.46,12.12,11.4,81494001,975694725.55,5.2376
2026-01-09 00:00:00,sz.300288,14.4,15.5,14.4,15.14,14.03,30317200,455573716.0,11.8164
2026-01-09 00:00:00,sz.300553,40.3,47.86,40.26,46.36,39.88,18241515,829802778.49,21.6503
2026-01-09 00:00:00,sz.300586,11.12,12.05,10.96,11.67,11.1,43092860,497103354.27,8.0608
2026-01-09 00:00:00,sz.300592,10.97,12.51,10.95,12.15,11.0,38066503,447800354.4,10.9109
2026-01-09 00:00:00,sz.300608,11.38,12.12,11.34,12.06,11.39,18307160,216282335.08,6.366
2026-01-09 00:00:00,sz.300676,47.99,52.15,47.97,51.69,48.04,19948558,1011543048.43,4.7948
2026-01-09 00:00:00,sz.300729,13.98,14.54,13.92,14.39,13.97,9986922,142123066.17,3.1362
2026-01-09 00:00:00,sz.300830,10.53,12.86,10.53,12.1,10.72,80471702,966201457.15,23.8728
2026-01-09 00:00:00,sz.300862,23.69,26.55,23.69,25.44,23.63,18463997,468008533.52,12.1898
