code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sh.600048,保利发展,2024-05-30,10.22,10.44,10.1,9.31,-7.23,9.85,0.68,-2.15,-11.74
sh.600926,杭州银行,2024-05-30,13.59,13.8,13.58,12.12,-4.48,9.97,-3.46,-3.31,-4.27
sh.601668,中国建筑,2024-05-30,5.65,5.7,5.62,5.37,-0.53,12.48,-1.42,-1.59,-4.25
sz.000002,万科A,2024-05-30,8.27,8.65,8.24,8.37,-4.04,21.21,-3.02,-3.99,-15.96
sh.601658,邮储银行,2024-05-31,5.03,5.09,5.01,4.85,-2.8,22.43,0.4,-5.96,-0.2
sz.000876,新希望,2024-05-31,10.02,10.17,9.87,9.43,-11.36,12.27,-2.99,-5.49,-4.99
sz.002074,国轩高科,2024-05-31,20.3,20.68,20.1,19.86,-6.45,17.0,-5.02,2.61,-8.08
sz.002180,纳思达,2024-05-31,27.2,27.44,27.1,24.97,-2.74,3.28,-3.09,3.38,-2.65
sz.300498,温氏股份,2024-05-31,21.41,21.86,21.2,19.67,-1.53,23.39,0.7,-4.44,-5.42
sh.600029,南方航空,2024-06-03,5.83,5.89,5.81,5.7,-3.84,5.59,0.34,2.06,-0.69
sh.601166,兴业银行,2024-06-04,17.75,17.89,17.66,16.67,-4.72,3.02,-2.65,-0.73,-3.1
sh.600886,国投电力,2024-06-18,17.53,17.91,17.5,16.12,-2.91,4.42,2.11,8.04,-1.6
sh.600161,天坛生物,2024-06-19,30.12,30.87,29.9,28.66,-9.64,11.62,-18.56,-20.58,-17.46
sh.688506,百利天恒,2024-06-21,193.7,197.03,192.86,163.27,-0.27,7.67,-6.35,-4.58,-7.97
sz.002179,中航光电,2024-06-24,37.33,37.77,36.99,35.34,-0.98,13.93,2.87,-4.55,-0.67
sh.600803,新奥股份,2024-06-27,20.48,20.84,20.23,19.21,-7.23,13.16,3.12,-0.59,-10.84
sh.688256,寒武纪,2024-06-28,198.67,200.75,195.84,175.71,-1.7,4.0,-2.95,0.37,24.31
sz.300502,新易盛,2024-06-28,105.55,107.22,102.33,86.45,-6.42,8.9,7.04,7.39,-11.06
sh.600000,浦发银行,2024-07-23,8.59,8.74,8.57,8.27,-5.29,11.04,-2.33,-4.07,-3.96
sz.002916,深南电路,2024-07-23,114.65,120.23,114.35,101.4,-4.4,32.4,-3.98,-8.61,-15.28
sz.002241,歌尔股份,2024-07-25,21.5,22.23,21.28,18.53,-1.12,12.67,-0.09,-6.05,-10.0
sz.002007,华兰生物,2024-07-26,16.29,16.48,16.07,17.51,-2.24,9.98,-0.12,-2.89,-8.29
sz.002001,新和成,2024-07-29,20.11,20.16,20.08,19.61,-1.1,0.73,0.1,2.24,-4.82
sz.300274,阳光电源,2024-07-30,68.05,69.82,65.97,81.57,-4.58,20.06,4.16,3.31,11.68
sz.300274,阳光电源,2024-08-01,67.9,68.76,66.85,80.32,-1.68,1.32,3.53,1.15,16.35
sh.600893,航发动力,2024-08-02,39.26,39.77,38.44,37.23,-11.25,14.86,-3.08,-6.21,-12.4
sh.600905,三峡能源,2024-08-07,4.75,4.78,4.71,4.61,-2.98,11.17,-1.68,-1.89,-13.89
sh.600372,中航机载,2024-08-09,12.44,12.6,12.39,12.1,-6.97,21.69,-2.41,-5.14,-11.9
sh.601989,中国重工,2024-08-09,5.46,5.54,5.44,5.1,-4.23,23.8,3.48,0.37,-15.02
sh.600918,中泰证券,2024-08-12,5.78,5.83,5.76,5.87,-3.15,2.92,1.9,-0.52,3.46
sh.600919,江苏银行,2024-09-02,7.84,7.99,7.83,7.68,-6.57,1.83,-2.93,-3.95,14.03
sz.000792,盐湖股份,2024-09-19,14.69,14.84,14.48,15.22,-2.23,2.0,8.85,19.61,32.81
sh.600547,山东黄金,2024-10-11,27.39,27.94,26.52,28.17,-1.32,5.66,3.32,0.04,-7.89
sh.601009,南京银行,2024-10-11,10.42,10.69,10.31,10.14,-3.55,3.24,2.11,-1.06,-1.73
sh.603392,万泰生物,2024-10-14,73.28,77.05,72.25,70.2,-0.96,12.85,-2.02,2.31,-0.76
sh.600023,浙能电力,2024-10-15,6.14,6.3,6.1,6.42,-4.86,13.77,0.98,-4.4,-11.56
sh.600028,中国石化,2024-10-15,6.6,6.72,6.59,6.62,-0.59,13.75,0.0,-5.61,-3.64
sh.600029,南方航空,2024-10-15,5.76,5.84,5.69,5.74,-2.68,6.01,2.26,3.99,13.89
sh.600309,万华化学,2024-10-15,79.43,82.74,78.68,75.81,-7.91,4.14,-0.68,-3.26,-8.22
sh.600547,山东黄金,2024-10-15,27.05,27.29,26.71,28.12,-7.7,2.27,5.95,0.59,-10.09
sh.601058,赛轮轮胎,2024-10-15,14.35,14.82,14.33,13.22,-1.64,9.43,-4.18,2.09,-1.05
sh.601225,陕西煤业,2024-10-15,25.01,25.3,24.48,24.06,-5.21,6.55,1.28,-0.04,-6.52
sh.601985,中国核电,2024-10-15,10.44,10.61,10.35,10.9,-2.78,12.54,1.82,-0.86,-9.87
sh.603260,合盛硅业,2024-10-15,53.22,55.15,52.94,49.11,-4.31,8.48,0.71,12.61,7.84
sz.000301,东方盛虹,2024-10-15,8.04,8.32,7.88,7.8,-3.15,13.99,2.24,4.6,11.94
sh.600009,上海机场,2024-10-16,34.26,35.02,33.48,33.72,-7.4,10.31,3.91,2.92,1.55
sh.600011,华能国际,2024-10-16,7.07,7.26,6.96,7.36,-8.48,6.75,3.39,0.57,-1.56
sh.600027,华电国际,2024-10-16,5.53,5.73,5.46,5.59,-3.02,11.0,1.81,-1.08,-3.07
sh.600085,同仁堂,2024-10-16,36.02,37.29,35.33,35.91,-5.85,15.73,9.49,11.19,10.61
sh.600089,特变电工,2024-10-16,12.92,13.4,12.88,12.94,-12.74,3.44,8.9,9.44,5.26
sh.600104,上汽集团,2024-10-16,13.07,13.5,12.82,13.34,-7.58,10.85,2.91,0.84,37.18
sh.600160,巨化股份,2024-10-16,19.72,20.21,18.51,18.18,-1.51,20.31,6.49,8.01,13.03
sh.600176,中国巨石,2024-10-16,10.38,10.74,10.11,10.12,-6.7,13.91,3.76,9.44,6.65
sh.600362,江西铜业,2024-10-16,22.44,22.88,21.26,20.86,-1.8,16.55,2.36,-2.18,-5.53
sh.600426,华鲁恒升,2024-10-16,23.13,23.68,22.51,23.06,-5.02,14.4,4.11,0.04,-5.88
sh.600436,片仔癀,2024-10-16,226.4,236.6,221.72,213.75,-7.38,18.79,5.64,4.06,4.02
sh.600515,海南机场,2024-10-16,3.42,3.44,3.32,3.3,-7.69,0.5,0.29,0.29,12.57
sh.600519,贵州茅台,2024-10-16,1522.5,1584.75,1468.51,1439.2,-1.39,25.46,2.96,0.62,-0.23
sh.600600,青岛啤酒,2024-10-16,68.06,70.57,64.15,63.72,-2.05,27.62,2.85,-1.51,5.22
sh.600741,华域汽车,2024-10-16,16.67,16.93,16.47,15.39,-1.76,11.91,-2.88,-7.02,1.74
sh.600809,山西汾酒,2024-10-16,190.5,198.83,179.73,181.01,-0.09,32.08,4.47,3.46,6.25
sh.600887,伊利股份,2024-10-16,26.15,27.0,24.72,24.22,-1.02,28.67,3.29,1.11,10.4
sh.601111,中国国航,2024-10-16,6.92,7.05,6.83,7.03,-4.49,9.93,2.46,3.32,19.51
sh.601238,广汽集团,2024-10-16,7.96,8.16,7.83,7.71,-11.15,3.61,4.77,4.77,6.41
sh.601699,潞安环能,2024-10-16,15.77,16.25,15.08,14.92,-6.18,14.19,2.28,-2.66,-6.91
sh.601857,中国石油,2024-10-16,8.42,8.61,8.33,8.77,-5.29,3.22,0.71,-3.68,-4.63
sh.601872,招商轮船,2024-10-16,7.09,7.28,7.01,7.51,-3.09,9.7,1.13,-3.95,-9.03
sh.601919,中远海控,2024-10-16,14.41,14.72,13.81,13.04,-11.28,2.79,2.85,-0.56,-3.61
sh.603195,公牛集团,2024-10-16,73.82,76.77,71.32,69.33,-4.83,22.15,0.51,0.27,-2.49
sh.603993,洛阳钼业,2024-10-16,8.02,8.14,7.65,7.5,-1.17,7.61,2.24,-3.49,-8.98
sz.000100,TCL科技,2024-10-16,4.11,4.23,4.03,3.9,-6.39,14.2,6.08,17.27,13.14
sz.000157,中联重科,2024-10-16,6.82,6.97,6.57,6.56,-7.48,11.22,1.61,-0.15,3.81
sz.000338,潍柴动力,2024-10-16,13.73,14.25,13.47,13.21,-9.31,6.63,-0.58,-1.75,-3.28
sz.000625,长安汽车,2024-10-16,12.95,13.24,12.82,13.18,-10.1,2.5,6.49,2.32,7.1
sz.000630,铜陵有色,2024-10-16,3.47,3.53,3.32,3.18,-5.26,7.18,2.02,-2.59,-5.19
sz.000800,一汽解放,2024-10-16,8.54,8.72,8.38,8.05,-9.69,3.88,0.47,0.59,-1.52
sz.000895,双汇发展,2024-10-16,24.88,24.94,24.39,23.65,-5.68,0.08,0.68,1.53,-2.09
sz.000983,山西焦煤,2024-10-16,8.51,8.68,8.15,8.07,-4.58,13.5,2.23,-2.7,-3.64
sz.002007,华兰生物,2024-10-16,15.89,16.25,15.51,15.69,-5.21,13.47,3.08,4.41,5.16
sz.002129,TCL中环,2024-10-16,9.04,9.4,8.75,8.36,-2.14,22.95,23.12,34.73,14.49
sz.002252,上海莱士,2024-10-16,7.19,7.21,7.04,7.36,-4.43,2.91,2.78,2.92,5.42
sz.002304,洋河股份,2024-10-16,83.72,85.99,81.72,80.04,-7.85,9.87,3.58,1.09,2.04
sz.002415,海康威视,2024-10-16,28.28,29.8,28.03,27.81,-4.65,20.78,9.26,6.12,6.15
sz.002493,荣盛石化,2024-10-16,9.04,9.38,9.04,8.95,-12.55,0.38,3.76,4.31,6.53
